id,beneficiary-name,date,direction,amount,description,currency,mcc,kind
10361,Glovo,12/12/2021,d,24.2,Food delivery,USD,5811,pmt
10362,Wolt,12/12/2021,d,35.3,Food delivery,USD,5811,pmt
10363,Red Cross,12/12/2021,d,48.9,Charity,USD,,pmt
10364,Dental Plus,12/12/2021,d,26.4,Doctor's appointment,USD,8011,pmt
10365,Home cleaning service,12/12/2021,d,45.4,Cleaning,USD,,pmt
10366,Private consulting co,12/12/2021,c,776.2,Project based fee,USD,,dep
10367,Amazon,12/13/2021,d,16,Amazon Kindle subscription,USD,,pmt
10368,Netflix,12/13/2021,d,5.1,Hulu subscription,USD,,pmt
10369,Wolt,12/13/2021,d,50.6,Food delivery,USD,5811,pmt
10370,Fit and Fun,12/13/2021,d,24.1,Gym membership,USD,,pmt
10371,Lidl,12/13/2021,d,94.4,Supermaket shopping,USD,5200,pmt
10372,Bank of America,12/14/2021,d,4,ATM withdrawal fee,USD,,fee
10373,Johnson & Johnson,12/14/2021,d,43.2,Baby nursery,USD,,pmt
10374,Amazon,12/15/2021,d,13.5,Book,USD,,pmt
10375,Glovo,12/15/2021,d,26.7,Food delivery,USD,5811,pmt
10376,Glovo,12/15/2021,d,16.7,Food delivery,USD,5811,pmt
10377,Pet hotel Happy Dog,12/15/2021,d,100.1,Monthly stay,USD,5995,pmt
10378,Tele9,12/16/2021,d,19,Television bill,USD,,pmt
10379,Wolt,12/16/2021,d,34.7,Food delivery,USD,5811,pmt
10380,Wolt,12/16/2021,d,20.4,Food delivery,USD,5811,pmt
10381,Home cleaning service,12/16/2021,d,47.3,Cleaning,USD,,pmt
10382,Adobe,12/16/2021,d,11.2,Games,USD,5045,pmt
10383,Real Estate,12/16/2021,d,157,Tax pay,USD,9311,pmt
10384,Electro distribution,12/17/2021,d,66.3,Utilities payment,USD,,pmt
10385,Glovo,12/17/2021,d,43.8,Food delivery,USD,5811,pmt
10386,Generali,12/17/2021,d,45.1,Extended health insurance,USD,,pmt
10387,Hertz,12/17/2021,d,14.7,Taxi,USD,7519,pmt
10388,Wolt,12/18/2021,d,30.1,Food delivery,USD,5811,pmt
10389,Glovo,12/18/2021,d,21.3,Food delivery,USD,5811,pmt
10390,Residential Property,12/18/2021,d,166.2,Tax pay,USD,9311,pmt
10391,Faculty of contemporary arts,12/19/2021,d,181,Tuition,USD,8299,pmt
10392,Lidl,12/19/2021,d,38.5,Supermaket shopping,USD,5499,pmt
10393,Wolt,12/19/2021,d,23.2,Food delivery,USD,5811,pmt
10394,Wolt,12/19/2021,d,22,Food delivery,USD,5811,pmt
10395,Lidl,12/19/2021,d,99.8,Supermaket shopping,USD,5200,pmt
10396,Pet shop,12/19/2021,d,22.6,Shopping,USD,5995,pmt
10397,Generali,12/20/2021,d,45.1,Extended health insurance,USD,,pmt
10398,Lidl,12/20/2021,d,92.2,Supermaket shopping,USD,5200,pmt
10399,Asseco,12/20/2021,c,"2,458.40",Salary,USD,,sal
10400,City parkings,12/21/2021,d,2.5,Parking fee,USD,7523,pmt
10401,New York Times,12/21/2021,d,3.6,New York Times,USD,5192,pmt
10402,Glovo,12/21/2021,d,23.8,Food delivery,USD,5811,pmt
10403,Wolt,12/21/2021,d,30,Food delivery,USD,5811,pmt
10404,Serenity Wellnes,12/22/2021,d,23.7,Spa treatment,USD,8050,pmt
10405,City parkings,12/23/2021,d,2.1,Parking fee,USD,7523,pmt
10406,Book depository,12/23/2021,d,14.2,Book,USD,,pmt
10407,Save our kids,12/23/2021,d,26.3,Charity,USD,,pmt
10408,Dental Plus,12/23/2021,d,29.9,Doctor's appointment,USD,8011,pmt
10409,City parkings,12/24/2021,d,1.2,Parking fee,USD,7523,pmt
10410,Table tenis club PingPong,12/24/2021,d,15.1,Daily pool ticket,USD,5655,pmt
10411,City parkings,12/25/2021,d,2.4,Parking fee,USD,7523,pmt
10412,Glovo,12/25/2021,d,43.8,Food delivery,USD,5811,pmt
10413,Heating,12/26/2021,d,48.4,Utilities payment,USD,,pmt
10414,MetLife,12/26/2021,d,200.5,Life insurance premium,USD,6300,pmt
10415,R-Pharm,12/26/2021,d,38.7,Home care,USD,5912,pmt
10416,Lending Club,12/26/2021,d,61.8,Loan Payment,USD,,pmt
10417,Hooters Air,12/26/2021,d,504,Ticket pay,USD,,pmt
10418,Glovo,12/27/2021,d,19.1,Food delivery,USD,5811,pmt
10419,Wolt,12/27/2021,d,28.2,Food delivery,USD,5811,pmt
10420,Fit and Fun,12/27/2021,d,30.3,Gym membership,USD,,pmt
10421,Blue moon spa,12/27/2021,d,24.1,Massage,USD,8050,pmt
10422,City parkings,12/28/2021,d,1.2,Parking fee,USD,7523,pmt
10423,Gift shop,12/28/2021,d,108.9,Birthday gifts,USD,5947,pmt
10424,Adobe,12/28/2021,d,12.6,TV,USD,5045,pmt
10425,Faculty of contemporary arts test 2,1/1/2021,d,187.2,Tuition test 2,USD,8299,pmt
10426,Glovo,1/1/2021,d,44.3,Food delivery,USD,5811,pmt
10427,Glovo,1/1/2021,d,17,Food delivery,USD,5811,pmt
10428,Claire Stevens,1/1/2021,c,300.1,Monthly rent,USD,,dep
10429,Josh,1/1/2021,d,35.1,Allowance,USD,,pmt
10430,Hertz,1/1/2021,d,11.6,Taxi,USD,7519,pmt
10431,Book depository,1/2/2021,d,15.6,Amazon Kindle subscription,USD,,pmt
10432,Table tenis club PingPong,1/2/2021,d,12.3,Daily pool ticket,USD,5655,pmt
10433,Delhaize,1/3/2021,d,33.5,Supermaket shopping,USD,5499,pmt
10434,Swimming school,1/3/2021,d,22,Membership,USD,,pmt
10435,Blue moon spa,1/3/2021,d,22.5,Massage,USD,8050,pmt
10436,Adobe,1/3/2021,d,20.1,Games,USD,5045,pmt
10437,MetLife,1/4/2021,d,200.9,Life insurance premium,USD,6300,pmt
10438,City parkings,1/5/2021,d,2.3,Parking fee,USD,7523,pmt
10439,A1 Telecom,1/6/2021,d,6.9,Phone bill,USD,,pmt
10440,National Geographic,1/6/2021,d,4.8,National Geographic,USD,5192,pmt
10441,Revolut,1/6/2021,d,4.6,ATM withdrawal fee,USD,,fee
10442,Wolt,1/6/2021,d,48.4,Food delivery,USD,5811,pmt
10443,Dental Plus,1/6/2021,d,20.9,Doctor's appointment,USD,8011,pmt
10444,Claire Stevens,1/6/2021,c,300.1,Monthly rent,USD,,dep
10445,Swimming school,1/6/2021,d,27.1,Membership,USD,,pmt
10446,Faculty of contemporary arts,1/7/2021,d,185.5,Tuition,USD,8299,pmt
10447,Lidl,1/7/2021,d,33.1,Supermaket shopping,USD,5499,pmt
10448,Lidl,1/7/2021,d,36.8,Supermaket shopping,USD,5499,pmt
10449,Claire Stevens,1/7/2021,c,300.1,Monthly rent,USD,,dep
10450,Raiffeisen Leasing,1/8/2021,d,450.5,Financial leasing,USD,7394,pmt
10451,City parkings,1/8/2021,d,1.5,Parking fee,USD,7523,pmt
10452,Pet salon Rex,1/8/2021,d,10.3,Grooming,USD,,pmt
10453,A1 Telecom,1/9/2021,d,6.1,Phone bill,USD,,pmt
10454,Book depository,1/9/2021,d,126.1,Books,USD,,pmt
10455,Bank of America,1/9/2021,d,5,Revolut Silver subscription,USD,,fee
10456,Lidl,1/9/2021,d,33.9,Supermaket shopping,USD,5499,pmt
10457,Glovo,1/9/2021,d,31.3,Food delivery,USD,5811,pmt
10458,Wolt,1/9/2021,d,24.5,Food delivery,USD,5811,pmt
10459,Emmezeta,1/9/2021,d,41.9,Appliances,USD,5712,pmt
10460,Heating,1/10/2021,d,63,Utilities payment,USD,,pmt
10461,Revolut,1/10/2021,d,3.3,Revolut Silver subscription,USD,,fee
10462,Delhaize,1/10/2021,d,40.7,Supermaket shopping,USD,5499,pmt
10463,Lidl,1/10/2021,d,31.7,Supermaket shopping,USD,5499,pmt
10464,Glovo,1/10/2021,d,47.1,Food delivery,USD,5811,pmt
10465,Wolt,1/10/2021,d,20.2,Food delivery,USD,5811,pmt
10466,Wolt,1/10/2021,d,21.6,Food delivery,USD,5811,pmt
10467,Generali,1/10/2021,d,45.8,Extended health insurance,USD,,pmt
10468,Lending Club,1/10/2021,d,33.2,Loan Payment,USD,,pmt
10469,Glovo,1/11/2021,d,40.6,Food delivery,USD,5811,pmt
10470,Lidl,1/11/2021,d,90.7,Supermaket shopping,USD,5200,pmt
10471,Revolut,1/12/2021,d,3.5,ATM withdrawal fee,USD,,fee
10472,Glovo,1/12/2021,d,18.8,Food delivery,USD,5811,pmt
10473,Karate club,1/12/2021,d,24.4,Club membership,USD,,pmt
10474,Revolut,1/13/2021,d,5.5,ATM withdrawal fee,USD,,fee
10475,Lidl,1/13/2021,d,37.1,Supermaket shopping,USD,5499,pmt
10476,Chase,1/13/2021,d,400.9,Rent pay,USD,,pmt
10477,Office365,1/13/2021,d,18.2,TV,USD,5045,pmt
10478,Fit and Fun,1/14/2021,d,24.4,Personal trainer,USD,,pmt
10479,T-Mobile,1/15/2021,d,13.2,Mobile phone bill,USD,,pmt
10480,New York Times,1/15/2021,d,3.1,National Geographic,USD,5192,pmt
10481,Glovo,1/15/2021,d,48.9,Food delivery,USD,5811,pmt
10482,Glovo,1/15/2021,d,26.8,Food delivery,USD,5811,pmt
10483,Karate club,1/15/2021,d,22.2,Club membership,USD,,pmt
10484,Shell,1/16/2021,d,45.4,Gasoline purchases,USD,5983,pmt
10485,Bank of America,1/16/2021,d,4.4,ATM withdrawal fee,USD,,fee
10486,Fit and Fun,1/16/2021,d,24.4,Gym membership,USD,,pmt
10487,Best Western,1/16/2021,d,"1,542.10",Hotel,USD,7011,pmt
10488,New York Times,1/17/2021,d,5.4,New York Times,USD,5192,pmt
10489,Lidl,1/17/2021,d,32.9,Supermaket shopping,USD,5499,pmt
10490,Wolt,1/17/2021,d,23.6,Food delivery,USD,5811,pmt
10491,Glovo,1/17/2021,d,32,Food delivery,USD,5811,pmt
10492,Asseco,1/17/2021,c,"2,382.40",Salary,USD,,sal
10493,Travel house,1/17/2021,d,532.4,Vacation,USD,5962,pmt
10494,,1/18/2021,d,204.1,ATM withdrawal,USD,,wdw
10495,City parkings,1/18/2021,d,2,Parking fee,USD,7523,pmt
10496,A1 Telecom,1/18/2021,d,6.1,Phone bill,USD,,pmt
10497,Comcast,1/18/2021,d,18.6,Television bill,USD,,pmt
10498,Wolt,1/18/2021,d,39,Food delivery,USD,5811,pmt
10499,Wolt,1/18/2021,d,38.3,Food delivery,USD,5811,pmt
10500,Glovo,1/18/2021,d,38,Food delivery,USD,5811,pmt
10501,Glovo,1/18/2021,d,50,Food delivery,USD,5811,pmt
10502,Fit and Fun,1/18/2021,d,27.3,Gym membership,USD,,pmt
10503,Apple,1/19/2021,d,15.2,Spotify premium subscription,USD,5733,pmt
10504,Bank of America,1/19/2021,d,7.9,Online banking fee,USD,,fee
10505,Lidl,1/19/2021,d,34.4,Supermaket shopping,USD,5499,pmt
10506,Delhaize,1/19/2021,d,30.3,Supermaket shopping,USD,5499,pmt
10507,Red Cross,1/19/2021,d,98.8,Charity,USD,,pmt
10508,Coinbase,1/19/2021,c,939.7,Project based fee,USD,,dep
10509,Wolt,1/20/2021,d,43.7,Food delivery,USD,5811,pmt
10510,Wolt,1/21/2021,d,19.3,Food delivery,USD,5811,pmt
10511,Wolt,1/21/2021,d,27.4,Food delivery,USD,5811,pmt
10512,Music school,1/22/2021,d,199.1,Tuition,USD,8299,pmt
10513,Glovo,1/22/2021,d,36.3,Food delivery,USD,5811,pmt
10514,Generali,1/22/2021,d,45.5,Extended health insurance,USD,,pmt
10515,Wells Fargo,1/22/2021,d,64.1,Loan Payment,USD,,pmt
10516,T-Mobile,1/23/2021,d,20.4,Mobile phone bill,USD,,pmt
10517,Glovo,1/23/2021,d,47,Food delivery,USD,5811,pmt
10518,Karate club,1/23/2021,d,29.9,Club membership,USD,,pmt
10519,The barbers,1/23/2021,d,38.2,Haircut,USD,7230,pmt
10520,Glovo,1/24/2021,d,35.9,Food delivery,USD,5811,pmt
10521,Table tenis club PingPong,1/24/2021,d,13.4,Table tennis 2 hrs,USD,5655,pmt
10522,Chase,1/24/2021,d,400.7,Rent pay,USD,,pmt
10523,Chase,1/24/2021,d,400.4,Rent pay,USD,,pmt
10524,Jill,1/24/2021,d,45.7,Allowance,USD,,pmt
10525,Adobe,1/24/2021,d,16.6,Games,USD,5045,pmt
10526,Shell,1/25/2021,d,41.9,Gasoline purchases,USD,5983,pmt
10527,A1 Telecom,1/25/2021,d,12.4,Mobile phone bill,USD,,pmt
10528,Revolut,1/25/2021,d,4.4,ATM withdrawal fee,USD,,fee
10529,Glovo,1/25/2021,d,41.6,Food delivery,USD,5811,pmt
10530,Karate club,1/25/2021,d,29.5,Membership,USD,,pmt
10531,Residential Property,1/25/2021,d,170.3,Tax pay,USD,9311,pmt
10532,Music school,1/26/2021,d,169.9,Tuition,USD,8299,pmt
10533,Wolt,1/26/2021,d,38.8,Food delivery,USD,5811,pmt
10534,Legend,1/26/2021,d,273.4,Fotwear,USD,,pmt
10535,Faculty of contemporary arts,1/27/2021,d,163.4,Tuition,USD,8299,pmt
10536,Glovo,1/27/2021,d,36.1,Food delivery,USD,5811,pmt
10537,Wolt,1/27/2021,d,25.6,Food delivery,USD,5811,pmt
10538,Pet store,1/27/2021,d,22.3,Shopping,USD,5995,pmt
10539,Pet salon Rex,1/27/2021,d,10.7,Grooming,USD,,pmt
10540,T-Mobile,1/28/2021,d,16.8,Mobile phone bill,USD,,pmt
10541,Pet hotel Happy Dog,1/28/2021,d,100.8,Monthly stay,USD,5995,pmt
10542,Tele9,2/2/2021,d,11.6,Television bill,USD,,pmt
10543,Hulu,2/2/2021,d,10,Netflix subscription,USD,,pmt
10544,Bank of America,2/2/2021,d,7.6,Online banking fee,USD,,fee
10545,Delhaize,2/2/2021,d,34.8,Supermaket shopping,USD,5499,pmt
10546,Wolt,2/2/2021,d,15.5,Food delivery,USD,5811,pmt
10547,Fit and Fun,2/2/2021,d,29.5,Personal trainer,USD,,pmt
10548,Coinbase,2/2/2021,c,928.6,Project based fee,USD,,dep
10549,Hertz,2/2/2021,d,14.7,Car rent,USD,7519,pmt
10550,Comcast,2/3/2021,d,11.3,Television bill,USD,,pmt
10551,Glovo,2/3/2021,d,26.4,Food delivery,USD,5811,pmt
10552,Glovo,2/3/2021,d,23.7,Food delivery,USD,5811,pmt
10553,Wolt,2/3/2021,d,27.4,Food delivery,USD,5811,pmt
10554,Wolt,2/4/2021,d,49.8,Food delivery,USD,5811,pmt
10555,Glovo,2/4/2021,d,48.8,Food delivery,USD,5811,pmt
10556,Wolt,2/4/2021,d,20.7,Food delivery,USD,5811,pmt
10557,Tax company,2/4/2021,d,"2,315.00",Tax pay,USD,9311,pmt
10558,Home cleaning service,2/5/2021,d,50.6,Cleaning,USD,,pmt
10559,Claire Stevens,2/5/2021,c,300.8,Monthly rent,USD,,dep
10560,Chevron,2/6/2021,d,71.3,Gasoline purchases,USD,5983,pmt
10561,Orange,2/7/2021,d,26.1,Internet bill,USD,,pmt
10562,Delhaize,2/7/2021,d,36.9,Supermaket shopping,USD,5499,pmt
10563,Wolt,2/7/2021,d,30.3,Food delivery,USD,5811,pmt
10564,Glovo,2/7/2021,d,33.3,Food delivery,USD,5811,pmt
10565,Wolt,2/7/2021,d,32.9,Food delivery,USD,5811,pmt
10566,Generali,2/7/2021,d,45.1,Extended health insurance,USD,,pmt
10567,The barbers,2/7/2021,d,35.7,Haircut,USD,7230,pmt
10568,Glovo,2/8/2021,d,41.5,Food delivery,USD,5811,pmt
10569,Glovo,2/8/2021,d,41.7,Food delivery,USD,5811,pmt
10570,Generali,2/8/2021,d,45.5,Extended health insurance,USD,,pmt
10571,Spotify,2/9/2021,d,16,Apple music subscription,USD,5733,pmt
10572,Wolt,2/9/2021,d,26.7,Food delivery,USD,5811,pmt
10573,Wolt,2/10/2021,d,50,Food delivery,USD,5811,pmt
10574,Glovo,2/10/2021,d,30.6,Food delivery,USD,5811,pmt
10575,Chase,2/10/2021,d,400.6,Rent pay,USD,,pmt
10576,Lidl,2/11/2021,d,40.7,Supermaket shopping,USD,5499,pmt
10577,Lidl,2/11/2021,d,35.6,Supermaket shopping,USD,5499,pmt
10578,Lidl,2/11/2021,d,37.3,Supermaket shopping,USD,5499,pmt
10579,Wolt,2/11/2021,d,24.3,Food delivery,USD,5811,pmt
10580,PersonalLoans,2/11/2021,d,9.9,Charge pay,USD,,fee
10581,Hulu,2/12/2021,d,10.5,Netflix subscription,USD,,pmt
10582,Glovo,2/12/2021,d,19.2,Food delivery,USD,5811,pmt
10583,Swimming pool Activa,2/12/2021,d,15.2,Table tennis 2 hrs,USD,5655,pmt
10584,Book depository,2/13/2021,d,15.8,Book,USD,,pmt
10585,Swimming school,2/13/2021,d,20.4,Membership,USD,,pmt
10586,Generali ado,2/14/2021,d,789.4,Kasko insurance,USD,6381,pmt
10587,National Geographic,2/14/2021,d,4.5,National Geographic,USD,5192,pmt
10588,Generali,2/14/2021,d,45.5,Extended health insurance,USD,,pmt
10589,Pet hotel Happy Dog,2/14/2021,d,100.5,Monthly stay,USD,5995,pmt
10590,Glovo,2/16/2021,d,23,Food delivery,USD,5811,pmt
10591,Glovo,2/16/2021,d,26.2,Food delivery,USD,5811,pmt
10592,Red Cross,2/16/2021,d,52.1,Charity,USD,,pmt
10593,Book depository,2/17/2021,d,14.7,Amazon Kindle subscription,USD,,pmt
10594,Glovo,2/17/2021,d,17.1,Food delivery,USD,5811,pmt
10595,Wolt,2/18/2021,d,28.5,Food delivery,USD,5811,pmt
10596,Wolt,2/18/2021,d,43.6,Food delivery,USD,5811,pmt
10597,Amazon,2/18/2021,d,20.6,Science fiction,USD,5192,pmt
10598,A1 Telecom,2/20/2021,d,29.3,Internet bill,USD,,pmt
10599,Lidl,2/20/2021,d,37.3,Supermaket shopping,USD,5499,pmt
10600,Delhaize,2/20/2021,d,31.6,Supermaket shopping,USD,5499,pmt
10601,Glovo,2/20/2021,d,46.7,Food delivery,USD,5811,pmt
10602,Medilife,2/20/2021,d,42.8,General Practitioner,USD,8011,pmt
10603,R-Pharm,2/20/2021,d,37.3,Medicine,USD,5912,pmt
10604,Claire Stevens,2/20/2021,c,300.8,Monthly rent,USD,,dep
10605,Orange,2/21/2021,d,5,Phone bill,USD,,pmt
10606,Wolt,2/21/2021,d,49.9,Food delivery,USD,5811,pmt
10607,Generali,2/21/2021,d,45.9,Extended health insurance,USD,,pmt
10608,Claire Stevens,2/21/2021,c,301,Monthly rent,USD,,dep
10609,,2/22/2021,d,261.3,ATM withdrawal,USD,,wdw
10610,Electro distribution,2/22/2021,d,77.9,Utilities payment,USD,,pmt
10611,Bank of America,2/22/2021,d,4.7,Revolut Silver subscription,USD,,fee
10612,Office365,2/22/2021,d,10.6,Games,USD,5045,pmt
10613,City parkings,2/23/2021,d,2,Parking fee,USD,7523,pmt
10614,Bank of America,2/23/2021,d,3.2,Online banking fee,USD,,fee
10615,Delhaize,2/23/2021,d,30.4,Supermaket shopping,USD,5499,pmt
10616,Wolt,2/23/2021,d,24.5,Food delivery,USD,5811,pmt
10617,Wolt,2/23/2021,d,34.7,Food delivery,USD,5811,pmt
10618,Gerber Products Company,2/23/2021,d,78,Baby wardrobe,USD,,pmt
10619,UniCredit Leasing,2/24/2021,d,450,Financial leasing,USD,7394,pmt
10620,Raiffeisen Leasing,2/24/2021,d,450,Financial leasing,USD,7394,pmt
10621,Revolut,2/24/2021,d,4.3,ATM withdrawal fee,USD,,fee
10622,Wolt,2/24/2021,d,24.8,Food delivery,USD,5811,pmt
10623,Glovo,2/24/2021,d,27.6,Food delivery,USD,5811,pmt
10624,Glovo,2/24/2021,d,19.4,Food delivery,USD,5811,pmt
10625,Lidl,2/24/2021,d,89.5,Supermaket shopping,USD,5200,pmt
10626,Karate club,2/24/2021,d,24.9,Club membership,USD,,pmt
10627,Revolut,2/25/2021,d,5.5,ATM withdrawal fee,USD,,fee
10628,Glovo,2/25/2021,d,26.7,Food delivery,USD,5811,pmt
10629,Save our kids,2/25/2021,d,43,Charity,USD,,pmt
10630,Fit and Fun,2/25/2021,d,21.4,Gym membership,USD,,pmt
10631,Comcast,2/26/2021,d,20,Television bill,USD,,pmt
10632,Hulu,2/26/2021,d,10.7,Hulu subscription,USD,,pmt
10633,Swimming pool Activa,2/26/2021,d,10.4,Daily pool ticket,USD,5655,pmt
10634,Jill,2/26/2021,d,39.9,Allowance,USD,,pmt
10635,Swimming school,2/26/2021,d,24,Club membership,USD,,pmt
10636,Glovo,2/27/2021,d,44.4,Food delivery,USD,5811,pmt
10637,Glovo,2/27/2021,d,32.4,Food delivery,USD,5811,pmt
10638,Glovo,2/27/2021,d,43.9,Food delivery,USD,5811,pmt
10639,Serenity Wellnes,2/27/2021,d,25.4,Spa treatment,USD,8050,pmt
10640,Adobe,2/27/2021,d,16.7,Games,USD,5045,pmt
10641,City parkings,2/28/2021,d,1.4,Parking fee,USD,7523,pmt
10642,Bank of America,2/28/2021,d,6.6,Online banking fee,USD,,fee
10643,Lidl,2/28/2021,d,32.6,Supermaket shopping,USD,5499,pmt
10644,Glovo,2/28/2021,d,29,Food delivery,USD,5811,pmt
10645,Home cleaning service,2/28/2021,d,47.8,Cleaning,USD,,pmt
10646,Faculty of contemporary arts,3/1/2021,d,196.7,Tuition,USD,8299,pmt
10647,Amazon,3/1/2021,d,8,Amazon Kindle subscription,USD,,pmt
10648,National Geographic,3/1/2021,d,4.2,New York Times,USD,5192,pmt
10649,Glovo,3/1/2021,d,34.8,Food delivery,USD,5811,pmt
10650,Glovo,3/1/2021,d,30.1,Food delivery,USD,5811,pmt
10651,Wolt,3/1/2021,d,36.6,Food delivery,USD,5811,pmt
10652,Pet salon Rex,3/1/2021,d,10,Grooming,USD,,pmt
10653,MetLife,3/2/2021,d,200.5,Life insurance premium,USD,6300,pmt
10654,Josh,3/2/2021,d,42.2,Allowance,USD,,pmt
10655,Sixt GmbH,3/2/2021,d,11.4,Car rent,USD,7519,pmt
10656,Heating,3/3/2021,d,95.9,Utilities payment,USD,,pmt
10657,Bank of America,3/3/2021,d,5.4,Revolut Silver subscription,USD,,fee
10658,Lily,3/3/2021,d,38.9,Medicine,USD,5912,pmt
10659,Swimming pool Activa,3/3/2021,d,15.6,Table tennis 2 hrs,USD,5655,pmt
10660,Home cleaning service,3/3/2021,d,50.4,Cleaning,USD,,pmt
10661,MasterCard,3/3/2021,d,57.4,Pay with Visa,USD,,pmt
10662,Glovo,3/4/2021,d,45.5,Food delivery,USD,5811,pmt
10663,Fit and Fun,3/4/2021,d,27.1,Personal trainer,USD,,pmt
10664,Asseco,3/4/2021,c,"2,376.50",Salary,USD,,sal
10665,Earnest,3/4/2021,d,11.5,Charge pay,USD,,fee
10666,Adobe,3/4/2021,d,11,TV,USD,5045,pmt
10667,Glovo,3/5/2021,d,42.9,Food delivery,USD,5811,pmt
10668,Glovo,3/5/2021,d,22,Food delivery,USD,5811,pmt
10669,Lidl,3/5/2021,d,93.7,Supermaket shopping,USD,5200,pmt
10670,Electro distribution,3/6/2021,d,45.8,Utilities payment,USD,,pmt
10671,Apple,3/6/2021,d,15.9,Spotify premium subscription,USD,5733,pmt
10672,Wolt,3/6/2021,d,40.6,Food delivery,USD,5811,pmt
10673,Glovo,3/6/2021,d,36.8,Food delivery,USD,5811,pmt
10674,Hertz,3/6/2021,d,14.5,Taxi,USD,7519,pmt
10675,A1 Telecom,3/7/2021,d,5.5,Phone bill,USD,,pmt
10676,A1 Telecom,3/7/2021,d,34,Internet bill,USD,,pmt
10677,Delhaize,3/7/2021,d,37.7,Supermaket shopping,USD,5499,pmt
10678,Glovo,3/7/2021,d,39.3,Food delivery,USD,5811,pmt
10679,Pet shop,3/7/2021,d,23.8,Shopping,USD,5995,pmt
10680,Spotify,3/8/2021,d,15.6,Apple music subscription,USD,5733,pmt
10681,Wolt,3/8/2021,d,37.5,Food delivery,USD,5811,pmt
10682,Earnest,3/8/2021,d,6.7,Charge pay,USD,,fee
10683,A1 Telecom,3/9/2021,d,20.5,Mobile phone bill,USD,,pmt
10684,Electro distribution,3/9/2021,d,66.1,Utilities payment,USD,,pmt
10685,Delhaize,3/9/2021,d,37.9,Supermaket shopping,USD,5499,pmt
10686,Pet salon Rex,3/9/2021,d,10.5,Grooming,USD,,pmt
10687,Bank of America,3/10/2021,d,5.7,ATM withdrawal fee,USD,,fee
10688,Wolt,3/10/2021,d,22.5,Food delivery,USD,5811,pmt
10689,PersonalLoans,3/10/2021,d,12.5,Charge pay,USD,,fee
10690,Protetcta,3/11/2021,d,29.4,Doctor's appointment,USD,8011,pmt
10691,Glovo,3/12/2021,d,22.8,Food delivery,USD,5811,pmt
10692,Lidl,3/13/2021,d,30.2,Supermaket shopping,USD,5499,pmt
10693,Lidl,3/13/2021,d,34.9,Supermaket shopping,USD,5499,pmt
10694,A1 Telecom,3/14/2021,d,18.6,Mobile phone bill,USD,,pmt
10695,Delhaize,3/14/2021,d,30.3,Supermaket shopping,USD,5499,pmt
10696,Glovo,3/14/2021,d,31.2,Food delivery,USD,5811,pmt
10697,Lending Club,3/14/2021,d,70.4,Loan Payment,USD,,pmt
10698,Wolt,3/15/2021,d,18.4,Food delivery,USD,5811,pmt
10699,Wolt,3/15/2021,d,19.9,Food delivery,USD,5811,pmt
10700,Asseco,3/15/2021,c,"2,457.20",Salary,USD,,sal
10701,City parkings,3/16/2021,d,2.7,Parking fee,USD,7523,pmt
10702,Heating,3/16/2021,d,34,Utilities payment,USD,,pmt
10703,Hulu,3/16/2021,d,9.5,Netflix subscription,USD,,pmt
10704,Lidl,3/16/2021,d,40,Supermaket shopping,USD,5499,pmt
10705,Glovo,3/16/2021,d,44,Food delivery,USD,5811,pmt
10706,Faculty of contemporary arts,3/17/2021,d,155.1,Tuition,USD,8299,pmt
10707,Adobe,3/17/2021,d,19.5,Games,USD,5045,pmt
10708,,3/18/2021,d,127.8,ATM withdrawal,USD,,wdw
10709,T-Mobile,3/18/2021,d,13.2,Mobile phone bill,USD,,pmt
10710,National Geographic,3/18/2021,d,5.5,New York Times,USD,5192,pmt
10711,Delhaize,3/18/2021,d,39.8,Supermaket shopping,USD,5499,pmt
10712,Raiffeisen Leasing,3/19/2021,d,451,Financial leasing,USD,7394,pmt
10713,MetLife,3/19/2021,d,200.8,Life insurance premium,USD,6300,pmt
10714,Lidl,3/19/2021,d,33.5,Supermaket shopping,USD,5499,pmt
10715,Glovo,3/19/2021,d,39.1,Food delivery,USD,5811,pmt
10716,Fit and Fun,3/19/2021,d,25.6,Gym membership,USD,,pmt
10717,R-Pharm,3/19/2021,d,39.8,Medicine,USD,5912,pmt
10718,Visa,3/19/2021,d,83.2,Pay with Mastercard,USD,,pmt
10719,Hertz,3/19/2021,d,15.6,Taxi,USD,7519,pmt
10720,Glovo,3/20/2021,d,29.3,Food delivery,USD,5811,pmt
10721,UniCredit Leasing,3/21/2021,d,450,Financial leasing,USD,7394,pmt
10722,A1 Telecom,3/21/2021,d,14.2,Mobile phone bill,USD,,pmt
10723,Bank of America,3/21/2021,d,4.8,Online banking fee,USD,,fee
10724,Glovo,3/21/2021,d,36.9,Food delivery,USD,5811,pmt
10725,Wolt,3/21/2021,d,47.2,Food delivery,USD,5811,pmt
10726,Serenity Wellnes,3/21/2021,d,20.6,Spa treatment,USD,8050,pmt
10727,New York Times,3/22/2021,d,3.7,National Geographic,USD,5192,pmt
10728,Delhaize,3/22/2021,d,34,Supermaket shopping,USD,5499,pmt
10729,Lidl,3/22/2021,d,31.6,Supermaket shopping,USD,5499,pmt
10730,Glovo,3/22/2021,d,21.8,Food delivery,USD,5811,pmt
10731,Pet store,3/22/2021,d,24.4,Shopping,USD,5995,pmt
10732,R-Pharm,3/23/2021,d,30.7,Medicine,USD,5912,pmt
